EST,Month,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1/1/2013,1,28,16,5,18,9,1,92,68,50,30.17,30.1,30.04,10,10,10,12,7,,0,5,,311
1/2/2013,1,25,13,1,17,10,-1,92,81,69,30.22,30.16,30.07,10,10,8,12,4,,0,6,,241
1/3/2013,1,30,20,10,24,15,4,82,75,67,30.19,30.14,30.09,10,8,4,15,7,21,0,7,,241
1/4/2013,1,28,24,21,23,18,15,82,73,61,30.22,30.13,30.06,10,10,8,23,14,30,0,3,,252
1/5/2013,1,32,20,8,29,18,7,93,86,75,30.3,30.19,30.04,8,4,0,13,5,18,0,3,Fog-Snow,217
1/6/2013,1,35,34,32,31,28,24,87,81,70,30.28,30.01,29.91,10,6,3,16,11,25,0,8,Snow,255
1/7/2013,1,33,30,26,24,22,19,79,73,66,30.4,30.3,30.17,10,9,7,18,7,26,0,3,,226
1/8/2013,1,34,25,16,26,20,14,93,83,70,30.28,30.22,30.17,7,4,2,9,6,,0,0,,204
1/9/2013,1,45,30,15,31,23,14,100,75,44,30.47,30.18,30.07,10,6,1,22,6,32,0,1,,253
1/10/2013,1,39,29,19,32,25,16,89,78,60,30.59,30.45,30.17,10,8,2,12,3,,0.05,2,Rain,120
1/11/2013,1,57,46,35,50,40,32,100,90,72,30.15,29.92,29.77,10,5,1,16,8,23,0.61,6,Rain,160
1/12/2013,1,59,51,43,50,46,41,100,89,69,29.94,29.89,29.84,10,5,0,13,6,17,0,1,Fog-Rain,207
1/13/2013,1,50,41,30,48,37,33,100,89,81,30.06,29.86,29.73,10,7,2,17,10,23,0.63,8,Rain-Snow,335
1/14/2013,1,30,24,17,17,15,14,88,75,66,30.45,30.33,30.04,10,10,10,22,12,28,0,6,,291
1/15/2013,1,30,21,12,19,15,9,92,77,58,30.46,30.36,30.16,10,10,7,5,1,,0,0,,187
1/16/2013,1,37,27,17,26,18,14,92,69,39,30.14,29.97,29.84,10,10,7,20,6,28,0,4,,258
1/17/2013,1,37,28,19,27,18,4,75,61,43,30.33,30.16,29.99,10,10,10,20,11,31,0,3,,308
1/18/2013,1,34,24,15,22,14,6,77,60,46,30.45,30.28,30,10,10,10,21,8,29,0,4,,222
1/19/2013,1,48,41,34,33,27,21,68,58,48,29.98,29.85,29.62,10,10,10,22,15,29,0,1,,227
1/20/2013,1,44,30,17,32,7,4,63,56,48,30.16,30.02,29.58,10,10,10,23,16,37,0,7,,294
1/21/2013,1,18,10,3,13,7,-3,88,75,59,30.14,30.01,29.93,10,4,0,21,8,28,0.01,8,Fog-Snow,292
1/22/2013,1,10,2,-7,5,-2,-13,85,72,58,30.32,30.24,30.09,10,7,1,15,8,20,0,6,Snow,270
1/23/2013,1,17,9,1,11,5,-1,92,78,62,30.31,30.17,30.05,10,7,2,14,6,,0,8,Snow,247
1/24/2013,1,19,12,5,9,4,-4,85,70,41,30.6,30.43,30.08,10,9,2,13,8,21,0,2,Snow,338
1/25/2013,1,19,16,12,18,13,3,96,82,64,30.49,30.14,29.99,10,4,0,8,4,,0.06,8,Fog-Snow,165
1/26/2013,1,25,18,12,18,15,9,96,80,59,30.48,30.27,30.02,10,8,4,10,4,,0,7,Snow,302
1/27/2013,1,30,16,3,27,16,0,100,86,61,30.5,30.35,30.13,10,4,0,15,4,21,0.2,5,Fog-Rain-Snow,141
1/28/2013,1,43,36,30,43,36,28,100,96,92,30.12,29.97,29.88,5,2,0,15,9,24,0.21,8,Fog-Rain-Snow,214
1/29/2013,1,57,46,35,54,47,35,100,96,87,30.01,29.76,29.47,10,3,0,25,6,90,0.53,8,Fog-Rain-Thunderstorm,188
1/30/2013,1,61,47,32,57,47,24,100,90,73,29.42,29.24,29.14,10,7,0,25,12,41,0.53,8,Fog-Rain,227
1/31/2013,1,30,22,15,23,15,9,89,76,60,29.91,29.65,29.27,10,5,0,30,20,44,0,8,Snow,273
2/1/2013,2,18,13,8,13,8,0,88,75,62,30.31,30.12,29.88,10,6,0,21,11,26,0,7,Snow,267
2/2/2013,2,23,16,8,19,13,4,93,82,71,30.23,30.02,29.92,10,4,1,12,8,,0.01,8,Snow,235
2/3/2013,2,21,10,0,18,9,-4,87,78,62,30.03,29.93,29.83,10,7,0,17,6,25,0,7,Fog-Snow,276
2/4/2013,2,23,18,14,19,16,12,93,85,78,30.04,29.94,29.86,10,4,1,6,2,,0.02,8,Snow,143
2/5/2013,2,28,20,12,25,18,10,96,87,69,29.97,29.89,29.8,10,6,0,15,4,22,0.01,7,Fog-Snow,226
2/6/2013,2,28,16,5,22,13,2,92,71,56,30.33,30.21,30,10,10,7,14,7,21,0,2,Snow,297
2/7/2013,2,39,32,24,27,23,16,88,74,62,30.3,30.11,29.86,10,9,4,12,5,17,0.01,5,Rain,99
2/8/2013,2,30,24,18,28,23,14,93,83,63,30.37,29.97,29.76,10,5,1,23,12,33,0.24,7,Rain-Snow,3
2/9/2013,2,28,17,6,19,15,3,96,80,58,30.47,30.4,30.31,10,10,7,9,5,,0,0,,143
2/10/2013,2,41,30,19,37,26,18,96,80,60,30.28,30.02,29.68,10,9,7,10,5,,0.11,5,Rain,127
2/11/2013,2,44,38,30,42,30,24,97,76,64,29.9,29.69,29.57,10,10,5,31,15,41,0.01,8,Rain,244
2/12/2013,2,33,30,27,24,22,19,79,71,64,30.06,29.99,29.91,10,10,8,18,13,25,0,8,Snow,276
2/13/2013,2,37,32,26,25,22,19,88,73,55,29.94,29.83,29.75,10,9,5,8,5,,0,4,,234
2/14/2013,2,39,32,26,34,30,25,96,83,68,29.86,29.75,29.68,10,6,2,24,9,34,0,7,Snow,220
2/15/2013,2,33,28,19,27,16,10,80,62,45,30.14,30.04,29.88,10,10,10,14,11,22,0,7,,300
2/16/2013,2,26,19,12,19,15,7,93,79,48,30.12,30.03,29.96,10,5,1,20,5,22,0,7,Snow,304
